Y,X1,X2,X3
-1.150834651,-1.438989651,-1.421936904,0.086298737
0.146137733,-0.045170079,-0.44180285,0.316428701
-0.146137733,-0.20003892,-0.620009042,1.083528582
1.333506817,0.342002025,0.716537396,0.546558665
0.347077117,-0.896948706,0.538331204,1.16023857
-0.365344334,0.496870866,-1.065524521,-0.06712124
-0.091336083,1.116346232,0.003712629,0.009588749
0.2192066,0.109698763,0.449228108,-1.524611013
-1.717118367,-1.748727334,-1.778349288,-0.143831228
2.447807034,1.426083914,1.963980737,1.773918474
-0.237473817,-0.664645444,0.003712629,-0.757511132
-1.406575684,-0.354907761,-1.243730713,0.316428701
0.694154234,2.04555928,-0.174493563,1.236948558
0.840291967,0.884042969,0.894743587,0.776688629
0.60281815,0.96147739,1.251155971,-0.757511132
-1.077765784,-1.28412081,-0.352699754,-1.217771061
-0.968162484,0.651739707,-1.600143096,-0.373961192
1.552713417,1.271215073,1.340259066,0.776688629
-0.27400825,-1.051817548,0.894743587,0.009588749
-0.6576198,-0.664645444,-0.174493563,-1.908160953
0.16440495,0.419436445,0.716537396,-0.83422112
-0.49321485,0.187133183,0.181918821,-1.294481049
1.04123135,-0.432342182,0.805640491,1.54378851
-0.803757534,-1.129251968,-0.887318329,-0.757511132
